,company,model,engine,engine2,year,km,location,money
0,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
1,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
2,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
3,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
4,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
5,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
6,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
7,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
8,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
9,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
10,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
11,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
12,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
13,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
14,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
15,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
16,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
17,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
18,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
19,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
20,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
21,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
22,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
23,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
24,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
25,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
26,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
27,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
28,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
29,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
30,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
31,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
32,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
33,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
34,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
35,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
36,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
37,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
38,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
39,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
40,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
